12596	2937	
12097	4242	
513	985	
4023	3285	
2945	9381	
3671	8078	
6389	3843	
3363	8599	
5715	8734	
402	3821	
3978	5521	
10860	6168	
12697	7038	
6080	10282	
9780	7118	
6026	441	
8579	1153	
9831	5723	
11627	4010	
4297	8323	
1508	6919	
10895	5649	
1282	6017	
8764	3552	
1957	6702	
6686	8838	
5238	1072	
2816	3948	
5563	5470	
7045	7758	
6574	814	
4348	6336	
4406	6765	
4764	1002	
5685	1828	
7123	1603	
1183	1068	
9674	6602	
4376	3652	
10428	8185	
404	1618	
8007	5584	
6029	8873	
8806	2362	
5477	5212	
8022	5083	
494	2641	
1671	10936	
6363	847	
1742	9693	
8171	1627	
6126	175	
12587	4746	
9100	6310	
3661	7557	
7670	3489	
11400	7736	
8099	8757	
5559	10518	
9416	2673	
12619	4807	
6243	4759	
1588	4113	
1515	6528	
11856	8113	
11471	6734	
8624	4351	
8695	4802	
11977	6806	
8648	10719	
4578	3356	
2148	8556	
5828	9880	
12786	559	
8426	1453	
3587	9233	
4997	7348	
4243	1570	
5435	8559	
3819	1241	
2793	2237	
8891	1702	
9139	9619	
4980	603	
659	6821	
4384	1587	
1664	4087	
12955	926	
9844	2511	
2851	8830	
9203	8987	
3470	7831	
4110	6428	
1483	4074	
5264	909	
8687	8426	
656	9641	
4996	4029	
7137	2873	
1960	274	
10236	4610	
2913	3728	
3075	592	
11683	8934	
4847	7368	
5194	2080	
1401	3739	
5256	9603	
8774	8794	
4169	10367	
1613	1074	
5000	8365	
12417	2750	
1905	5015	
6095	9008	
11025	4698	
9639	5026	
6318	147	
3778	2221	
12070	5771	
3402	4756	
3698	7388	
5343	4864	
8503	3629	
2048	9428	
1084	1253	
4824	3565	
3008	9270	
12151	5792	
4496	5921	
1199	10296	
10430	7879	
537	4323	
7254	9026	
2276	10951	
5260	9859	
12456	7539	
8091	9570	
11534	1707	
9417	7674	
12403	5101	
4741	2532	
7435	8632	
3028	3607	
4847	10737	
9145	7849	
8768	2527	
4284	9923	
1529	8941	
2986	1552	
4596	7941	
2112	4550	
7560	1260	
10468	3237	
4295	8070	
10523	3849	
8685	2167	
6939	4080	
12408	6079	
10562	3468	
4027	4590	
7182	10299	
6024	2127	
7644	4817	
4995	677	
7803	8887	
3967	4643	
8891	338	
7279	568	
12864	3900	
4896	3754	
